w0,wa,level
-0.24297234449376082,-2.2377697246626025,68%
-0.24316165258488506,-2.2267796693779722,68%
-0.24372881458139,-2.214481840993717,68%
-0.24467154672209196,-2.200925758524299,68%
-0.24598605295739182,-2.1861660075292875,68%
-0.24766704023462677,-2.170262020316577,68%
-0.24970773981132538,-2.15327783662946,68%
-0.25209993451054447,-2.1352818457811833,68%
-0.25483399180854055,-2.116346511275319,68%
-0.257898902621543,-2.096548079020815,68%
-0.26128232563544906,-2.0759662703166266,68%
-0.2649706369999399,-2.054683960842184,68%
-0.26894898518691707,-2.032786846946282,68%
-0.2732013507923649,-2.0103631005781306,68%
-0.2777106110408362,-1.9875030142500318,68%
-0.28245860873282563,-1.9642986374613045,68%
-0.2874262253574038,-1.9408434060474362,68%
-0.29259345807571285,-1.917231765946953,68%
-0.2979395002653388,-1.8935587929009585,68%
-0.3034428253012361,-1.8699198096166803,68%
-0.3090812732358497,-1.8464100019365723,68%
-0.3148321400294019,-1.8231240355585225,68%
-0.32067226897104767,-1.8001556748504983,68%
-0.32657814392277607,-1.7775974052945311,68%
-0.3325259840105983,-1.7555400610803225,68%
-0.33849183938173383,-1.7340724593480203,68%
-0.34445168764221445,-1.7132810425529446,68%
-0.3503815305865866,-1.693249530392328,68%
-0.35625749083021446,-1.6740585826956444,68%
-0.3620559079550804,-1.6557854746359424,68%
-0.3677534337819378,-1.6385037855699989,68%
-0.3733271263851882,-1.622283102760218,68%
-0.3787545424719183,-1.6071887411712857,68%
-0.38401382775311965,-1.5932814804698598,68%
-0.38908380494319666,-1.5806173202863043,68%
-0.3939440590334219,-1.5692472547239416,68%
-0.39857501949597024,-1.5592170670237975,68%
-0.40295803908752786,-1.5505671452116483,68%
-0.40707546893515884,-1.5433323194696955,68%
-0.4109107296020881,-1.5375417218877154,68%
-0.4144483778472411,-1.5332186691584153,68%
-0.41767416880972574,-1.5303805686893415,68%
-0.42057511336785874,-1.5290388485093929,68%
-0.4231395304417749,-1.5291989112521827,68%
-0.4253570940290125,-1.5308601124015386,68%
-0.42721887478368104,-1.534015762886743,68%
-0.4287173759717854,-1.5386531560170589,68%
-0.4298465636579277,-1.5447536186470896,68%
